	user_profile	user_name	original_comment_link	comment_title	product_color	a-size-mini 3	a-base 3	review-comment-total	product_score
0	https://www.amazon.fr/gp/profile/amzn1.account.AEQRMOTTIKZ3AZY42FZZ25O3SSFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8	Pascal GILBERT	https://www.amazon.fr/gp/customer-reviews/R24VBH3FB5FK1C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Bon, ben c'est Echo 2 quoi...	anthracite	true	355 personnes ont trouvé cela utile	3	2
1	https://www.amazon.fr/gp/profile/amzn1.account.AH44K4UO7T7X32QSSTQ4XESIDQTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8	Rosie	https://www.amazon.fr/gp/customer-reviews/ROITX4I4UAPXO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Très bien. Alexa devient vite le bras droit d'une maman débordée.	anthracite	true	323 personnes ont trouvé cela utile	2	5
2	https://www.amazon.fr/gp/profile/amzn1.account.AGPTPF2Z4YMBTUTHGYYMNHX5SQAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8	Frédéric B.	https://www.amazon.fr/gp/customer-reviews/R2VC9GFVXMB4LG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Superbe expérience !!!	anthracite	true	130 personnes ont trouvé cela utile	3	5
3	https://www.amazon.fr/gp/profile/amzn1.account.AE6J2VIBH6KBJPEO2G2PQ3QEUHXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8	BON THIERRY	https://www.amazon.fr/gp/customer-reviews/R1GXA9B0Q2592B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	grosse déception, Alexa pour l’instant ne sert pas à grand chose à la maison	gris chiné	true	108 personnes ont trouvé cela utile	0	1
4	https://www.amazon.fr/gp/profile/amzn1.account.AHW6UYSDHUIDR6I62CZX2A7TA46Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8	Cynthia M.	https://www.amazon.fr/gp/customer-reviews/R29F3OEYOL8KOV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Pas indispensable, c'est marrant !	anthracite	true	226 personnes ont trouvé cela utile	5	5
5	https://www.amazon.fr/gp/profile/amzn1.account.AGT3XDDKKH4FDDEUSYEZJIB7WZBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8	Inde	https://www.amazon.fr/gp/customer-reviews/R29QFDVTE826SO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Perfectible	anthracite	true	60 personnes ont trouvé cela utile	1	2
6	https://www.amazon.fr/gp/profile/amzn1.account.AGWJKSJNBJUCEIKRO5KVMW355VTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8	Le Punk	https://www.amazon.fr/gp/customer-reviews/R3HOZWBWT7I0QA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Après 24h	anthracite	true	59 personnes ont trouvé cela utile	0	5
7	https://www.amazon.fr/gp/profile/amzn1.account.AEMUG7H7WS2AS7WJQJDEXRJ6PN4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8	R M 7	https://www.amazon.fr/gp/customer-reviews/R3UDJ2U69NDO8L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Multitâche...et plus !	anthracite	true	40 personnes ont trouvé cela utile	1	5
8	https://www.amazon.fr/gp/profile/amzn1.account.AFUJALLHG27VQOSGPIT7KEMELSPA/ref=cm_cr_getr_d_gw_btm?ie=UTF8	François	https://www.amazon.fr/gp/customer-reviews/R20NBCRZSI3EVA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Grosse déception du début à la fin	anthracite	true	27 personnes ont trouvé cela utile	1	1
9	https://www.amazon.fr/gp/profile/amzn1.account.AFUCB5JNY5A4OCK7VUX6KJBJRWYA/ref=cm_cr_getr_d_gw_btm?ie=UTF8	Maxime V.	https://www.amazon.fr/gp/customer-reviews/R3VOCN0R4M5YK9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Enceinte puissante sur le plan sonore et design	anthracite	true	22 personnes ont trouvé cela utile	2	5
10	https://www.amazon.fr/gp/profile/amzn1.account.AGK7CBNBHKPBHRHSHRXV2ATRHANA/ref=cm_cr_getr_d_gw_btm?ie=UTF8	Monserrat	https://www.amazon.fr/gp/customer-reviews/R23FRENQU6ACHZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Efficace et prometteuse	anthracite	true	25 personnes ont trouvé cela utile	0	4
11	https://www.amazon.fr/gp/profile/amzn1.account.AETEMWNRGOT5DB3BDS6ME22AAORA/ref=cm_cr_getr_d_gw_btm?ie=UTF8	Marc	https://www.amazon.fr/gp/customer-reviews/R1YAZ8FNU869C2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Déception totale	anthracite	true	21 personnes ont trouvé cela utile	1	1
12	https://www.amazon.fr/gp/profile/amzn1.account.AEHDBPQNNDKVPTVVT2H5YBU6ARWA/ref=cm_cr_getr_d_gw_btm?ie=UTF8	Pierre B	https://www.amazon.fr/gp/customer-reviews/R34WI69M79U128/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Faut lui apprendre les synonymes !	gris chiné	true	15 personnes ont trouvé cela utile	2	3
13	https://www.amazon.fr/gp/profile/amzn1.account.AG6AWQU5UJY5EOBCGBIRZ36OPIUQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8	Geoff	https://www.amazon.fr/gp/customer-reviews/RNOKN9V7W1RVU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Un gros kiff	anthracite	true	15 personnes ont trouvé cela utile	0	5
14	https://www.amazon.fr/gp/profile/amzn1.account.AG4VKBIPIMLWXJBRTTPMEM5M4PJQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8	David	https://www.amazon.fr/gp/customer-reviews/R1UNWH9PYCEKCY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Très limité	gris chiné	true	13 personnes ont trouvé cela utile	1	2
15	https://www.amazon.fr/gp/profile/amzn1.account.AHXI542SWNA3EY56HAVUVZFFHEXQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8	Bruno Bozon	https://www.amazon.fr/gp/customer-reviews/R2WERBF9N9K4QH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Une A(m)I bien sympathique	anthracite	true	10 personnes ont trouvé cela utile	0	4
16	https://www.amazon.fr/gp/profile/amzn1.account.AGFYXEJEOKEZXYQ22NHJGHBKVADA/ref=cm_cr_getr_d_gw_btm?ie=UTF8	Chez DODGSON	https://www.amazon.fr/gp/customer-reviews/R2Y60QA34VXTD2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Un bon début	anthracite	true	12 personnes ont trouvé cela utile	0	4
17	https://www.amazon.fr/gp/profile/amzn1.account.AGUOQI6I5ZCI4AI7SMDH4F5UY7KQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8	FlorianMDLF	https://www.amazon.fr/gp/customer-reviews/R39S08PLJFANK6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Préférez un google home	gris chiné	true	11 personnes ont trouvé cela utile	0	3
18	https://www.amazon.fr/gp/profile/amzn1.account.AFGYVGMLSSELWJGVJNXBUW7SLLZQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8	Brigitte CLAUZEL	https://www.amazon.fr/gp/customer-reviews/R1QJO3EKWXINTS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Excellent!	anthracite	true	11 personnes ont trouvé cela utile	0	5
19	https://www.amazon.fr/gp/profile/amzn1.account.AH47AC2ZMSXVDUYY4KEO6W6Q2EHQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8	Rèdge	https://www.amazon.fr/gp/customer-reviews/R1WJFX1JZBVD6P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Enfin la synchronisation avec l'agenda!!!	anthracite	true	11 personnes ont trouvé cela utile	0	5
20	https://www.amazon.fr/gp/profile/amzn1.account.AFETU6FVPBU6XDPZUPA547QBI57A/ref=cm_cr_getr_d_gw_btm?ie=UTF8	Balaguer	https://www.amazon.fr/gp/customer-reviews/R1LI1TU4Y31ZI0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Pas compatible fire tv stick	anthracite	true	12 personnes ont trouvé cela utile	0	1
21	https://www.amazon.fr/gp/profile/amzn1.account.AEHL6W5HICOFNVHG5J37ZZ7JEHUA/ref=cm_cr_getr_d_gw_btm?ie=UTF8	Michel Robert	https://www.amazon.fr/gp/customer-reviews/R2V3V20J4PP83U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Echo et bluetooth	sable	true	10 personnes ont trouvé cela utile	1	1
22	https://www.amazon.fr/gp/profile/amzn1.account.AHECM2H36YVWC7HX3ZWTMCZ5PQWA/ref=cm_cr_getr_d_gw_btm?ie=UTF8	clerc alexia	https://www.amazon.fr/gp/customer-reviews/R3SWO8ZQBEMPFO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	Au bout de 2 semaines ne fonctionne plus correctement	sable	true	11 personnes ont trouvé cela utile	0	1
23	https://www.amazon.fr/gp/profile/amzn1.account.AEFSYDQIKVZLLTBGQ7STYT6QDWRA/ref=cm_cr_getr_d_gw_btm?ie=UTF8	acbong	https://www.amazon.fr/gp/customer-reviews/RFREG6VKYS0CT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK	c'est quoi le problème	gris chiné	true	7 personnes ont trouvé cela utile	0	1
